old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 00 - Party Time/session-0-party-time-image-01.png,assets/world-anvil/screenshots/Session 00 - Party Time/session-0-party-time-image-01.webp,3820954,386360,3434594,converted,
assets/world-anvil/screenshots/Session 01 - A Time to Kill/session-01-a-time-to-kill-image-01.png,assets/world-anvil/screenshots/Session 01 - A Time to Kill/session-01-a-time-to-kill-image-01.webp,3914067,401498,3512569,converted,
assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-01.png,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-01.webp,3205442,296822,2908620,converted,
assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-02.png,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-02.webp,3767338,373594,3393744,converted,
assets/world-anvil/screenshots/Session 03 - Big Trouble at Little Oleg S/session-03-big-trouble-at-little-oleg-s-image-01.png,assets/world-anvil/screenshots/Session 03 - Big Trouble at Little Oleg S/session-03-big-trouble-at-little-oleg-s-image-01.webp,4090318,422034,3668284,converted,
assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-01.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-01.webp,756027,72168,683859,converted,
assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-02.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-02.webp,1532490,202218,1330272,converted,
assets/world-anvil/screenshots/Session 04 - Noknok Arrives/session-04-noknok-arrives-image-01.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/session-04-noknok-arrives-image-01.webp,3801918,400168,3401750,converted,
assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/Session 5-01.png,assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/Session 5-01.webp,780568,77600,702968,converted,
assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/session-05-finishing-the-old-sycamore-image-01.png,assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/session-05-finishing-the-old-sycamore-image-01.webp,3833176,415096,3418080,converted,
assets/world-anvil/screenshots/Session 06/Session 6-01.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-01.webp,1693275,352766,1340509,converted,
assets/world-anvil/screenshots/Session 06/Session 6-02.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-02.webp,1679114,346092,1333022,converted,
assets/world-anvil/screenshots/Session 06/Session 6-03.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-03.webp,1894833,359842,1534991,converted,
assets/world-anvil/screenshots/Session 06/Session 6-04.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-04.webp,1594779,255420,1339359,converted,
assets/world-anvil/screenshots/Session 06/Session 6-05.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-05.webp,1894086,418760,1475326,converted,
assets/world-anvil/screenshots/Session 06/Session 6-06.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-06.webp,1549856,237304,1312552,converted,
assets/world-anvil/screenshots/Session 06/Session 6-07.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-07.webp,1973189,427848,1545341,converted,
assets/world-anvil/screenshots/Session 06/Session 6-08.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-08.webp,925805,95914,829891,converted,
assets/world-anvil/screenshots/Session 06/Session 6-09.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-09.webp,1023754,135736,888018,converted,
assets/world-anvil/screenshots/Session 07/Session 7-01.png,assets/world-anvil/screenshots/Session 07/Session 7-01.webp,1171847,84134,1087713,converted,
assets/world-anvil/screenshots/Session 07/Session 7-02.png,assets/world-anvil/screenshots/Session 07/Session 7-02.webp,740874,67534,673340,converted,
assets/world-anvil/screenshots/Session 07/Session 7-03.png,assets/world-anvil/screenshots/Session 07/Session 7-03.webp,793979,89942,704037,converted,
assets/world-anvil/screenshots/Session 07/Session 7-04.png,assets/world-anvil/screenshots/Session 07/Session 7-04.webp,1168121,88234,1079887,converted,
assets/world-anvil/screenshots/Session 07/Session 7-05.png,assets/world-anvil/screenshots/Session 07/Session 7-05.webp,726394,67586,658808,converted,
assets/world-anvil/screenshots/Session 07/Session 7-06.png,assets/world-anvil/screenshots/Session 07/Session 7-06.webp,1246102,89944,1156158,converted,
assets/world-anvil/screenshots/Session 07/Session 7-07.png,assets/world-anvil/screenshots/Session 07/Session 7-07.webp,688027,58204,629823,converted,
assets/world-anvil/screenshots/Session 07/Session 7-08.png,assets/world-anvil/screenshots/Session 07/Session 7-08.webp,797799,77850,719949,converted,
assets/world-anvil/screenshots/Session 07/Session 7-10.png,assets/world-anvil/screenshots/Session 07/Session 7-10.webp,707713,60744,646969,converted,
assets/world-anvil/screenshots/Session 07/Session 7-11.png,assets/world-anvil/screenshots/Session 07/Session 7-11.webp,1155157,82060,1073097,converted,
assets/world-anvil/screenshots/Session 07/Session 7-12.png,assets/world-anvil/screenshots/Session 07/Session 7-12.webp,3904259,425592,3478667,converted,
assets/world-anvil/screenshots/Session 07/session-7-13.png,assets/world-anvil/screenshots/Session 07/session-7-13.webp,3832275,411700,3420575,converted,
