session,status,source,destination,duplicate_of,note
0,move,assets/world-anvil/screenshots/Session 00 - Party Time Image/session-0-party-time-image-01.png,assets/world-anvil/screenshots/Session 00 - Party Time/session-0-party-time-image-01.png,,
1,move,assets/world-anvil/screenshots/Session 01 - A Time to Kill Image/session-01-a-time-to-kill-image-01.png,assets/world-anvil/screenshots/Session 01 - A Time to Kill/session-01-a-time-to-kill-image-01.png,,
2,move,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes Image/session-02-go-west-young-heroes-image-01.png,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-01.png,,
2,move,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes Image/session-02-go-west-young-heroes-image-02.png,assets/world-anvil/screenshots/Session 02 - Go West Young Heroes/session-02-go-west-young-heroes-image-02.png,,
3,move,assets/world-anvil/screenshots/Session 03 - Big Trouble at Little Oleg S Image/session-03-big-trouble-at-little-oleg-s-image-01.png,assets/world-anvil/screenshots/Session 03 - Big Trouble at Little Oleg S/session-03-big-trouble-at-little-oleg-s-image-01.png,,
4,move,assets/world-anvil/screenshots/Session 04 - Noknok Arrives Image/session-04-noknok-arrives-image-01.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/session-04-noknok-arrives-image-01.png,,
4,move,assets/world-anvil/screenshots/Session 4/Session 4-01.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-01.png,,
4,move,assets/world-anvil/screenshots/Session 4/Session 4-02.png,assets/world-anvil/screenshots/Session 04 - Noknok Arrives/Session 4-02.png,,
5,move,assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore Image/session-05-finishing-the-old-sycamore-image-01.png,assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/session-05-finishing-the-old-sycamore-image-01.png,,
5,move,assets/world-anvil/screenshots/Session 5/Session 5-01.png,assets/world-anvil/screenshots/Session 05 - Finishing the Old Sycamore/Session 5-01.png,,
6,move,assets/world-anvil/screenshots/Session 6/Session 6-01.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-01.jpeg,,
6,move,assets/world-anvil/screenshots/Session 6/Session 6-02.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-02.jpeg,,
6,move,assets/world-anvil/screenshots/Session 6/Session 6-03.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-03.jpeg,,
6,move,assets/world-anvil/screenshots/Session 6/Session 6-04.jpeg,assets/world-anvil/screenshots/Session 06/Session 6-04.jpeg,,
