status,session,source,destination,duplicate_of,sha256,note
move,Session 4,assets/world-anvil/screenshots-originals/Session 4/Session 4-01.png,assets/world-anvil/screenshots/Session 4/Session 4-01.png,,80f4ca6856acad26a106939dd4d277a8f5150d7ee6816c76627ed3b0cf1c7254,
move,Session 4,assets/world-anvil/screenshots-originals/Session 4/Session 4-02.png,assets/world-anvil/screenshots/Session 4/Session 4-02.png,,271d2cbfa6de7be561197be990dda2f9396c302630f8eb17a67ce6a69738f501,
move,Session 5,assets/world-anvil/screenshots-originals/Session 5/Session 5-01.png,assets/world-anvil/screenshots/Session 5/Session 5-01.png,,abb615f92f9980f7ebffeb6de869b177081daee3b00869a7b6f15649db3b2f6c,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-01.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-01.jpeg,,fe89920112040a6ec34bc5ba9741d78a6fd2c6a82124bd42013e512e17bba8b8,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-02.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-02.jpeg,,a49281c0b57de2ec182193f681eb7d24551c183190442a70ca0d263107385121,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-03.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-03.jpeg,,28b2bf5634639cb8127267b98a19889c90fa0df895111e81564958dc2f0905c8,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-04.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-04.jpeg,,65cc2f53b89f8ad7dbc6d81a3094658e047109cb84bdebdf8dc74e18bb3bb200,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-05.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-05.jpeg,,1d38a09a70b28d5516036e7cdcf0a355b46b4c95a60723ff13237ed1405e7d38,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-06.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-06.jpeg,,719ae912622c684df7b15c8152b4ec256f283d252d2ba8dc610ce7b98f67d7c8,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-07.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-07.jpeg,,29432fd6d335b1a4bee7dfbe39f4f79f2ee1dcf8fdd676277d9e70f9dd4950c6,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-08.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-08.jpeg,,c4060e8527849036939cbe7526c192dae4f3e1417c3d7a06ba35c317de5d6a41,
move,Session 6,assets/world-anvil/screenshots-originals/Session 6/Session 6-09.jpeg,assets/world-anvil/screenshots/Session 6/Session 6-09.jpeg,,597413211dee1831d1794265537c039954e983362cf53d776ba996b5a5d5bfe4,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-01.png,assets/world-anvil/screenshots/Session 07/Session 7-01.png,,dc5020dd9054ead0e44126c0875b60e466d94bdaf88bcfe4a468c2e3cfd6e4b9,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-02.png,assets/world-anvil/screenshots/Session 07/Session 7-02.png,,994f476642b9bb0cd5a2168bdbb153bdd0f620110a04eb7faac24d82f9b390bc,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-03.png,assets/world-anvil/screenshots/Session 07/Session 7-03.png,,e9c2821d685425b2d7880b7ac8d6a8b7d16630cae1a10ee8e8cbeb94c5bfba85,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-04.png,assets/world-anvil/screenshots/Session 07/Session 7-04.png,,6de015f80c4be16f86cd259b11b97862bc8b4bb937923a7a16ddcc091ba85dc8,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-05.png,assets/world-anvil/screenshots/Session 07/Session 7-05.png,,3fbcb87f0325c5fb08b8176d2db91b26ed1fa6e0cd713f3a8494825362d6e62a,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-06.png,assets/world-anvil/screenshots/Session 07/Session 7-06.png,,ac3d9f8b0d64c55ca692b6c51d025456bbf54b3544bf6d90ff207a7280536c92,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-07.png,assets/world-anvil/screenshots/Session 07/Session 7-07.png,,9c97dc3c1ef01a8804d37f7b78be9559442aa53d231e12bdc98c387a9ac27284,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-08.png,assets/world-anvil/screenshots/Session 07/Session 7-08.png,,9e6b85e55f8299d2a762da87c2726e6ed4da07342bb0c59b67086afd7207fa03,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-09.webp,assets/world-anvil/screenshots/Session 07/Session 7-09.webp,,964a359db97ac165a4c20e5f93146185a18de5948bba2ecbb362621d1281012b,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-10.png,assets/world-anvil/screenshots/Session 07/Session 7-10.png,,6a56bb462d93f70362a233c564dce7abc5b84bd3d516600c85f5ee394a94832e,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-11.png,assets/world-anvil/screenshots/Session 07/Session 7-11.png,,cab06f89be28e7447755ffb5449e844511393688913baf71ea80044af35c8edb,
move,Session 7,assets/world-anvil/screenshots-originals/Session 7/Session 7-12.png,assets/world-anvil/screenshots/Session 07/Session 7-12.png,,640b61f7245a69955b1e1781d40d4514aa669ab557e5b57a8849a873bd4e60d2,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-01.webp,assets/world-anvil/screenshots/Session 08/Session 8-01.webp,,9a08849e7afc9fdf9ddc741f7f303e489755ebceccea89d16719aed63f6d5f7f,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-02.webp,assets/world-anvil/screenshots/Session 08/Session 8-02.webp,,7ea3b9ccf8e51c471c574c2a4ac5a7c2b36d64cf5bedc2158dbed5a1e770596e,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-03.webp,assets/world-anvil/screenshots/Session 08/Session 8-03.webp,,f54c8bc7c16668b43952070f32d7bcb69a6ff1e0838f3ef8d54b2905c011c352,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-04.webp,assets/world-anvil/screenshots/Session 08/Session 8-04.webp,,39dead3c03ae08394e1372a5cc1ff7d88a88407d1f1f691550d30e295c0db711,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-05.webp,assets/world-anvil/screenshots/Session 08/Session 8-05.webp,,59c7052d02c0aba66751abb99c732e2784b231f3a27dc300a0193070bbb31083,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-06.webp,assets/world-anvil/screenshots/Session 08/Session 8-06.webp,,70d971126ed99b94bcea14e9df047fc88c5c7a0caa698ae3aab0a4ec549152ef,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-07.webp,assets/world-anvil/screenshots/Session 08/Session 8-07.webp,,d3f07cf723e8b11c7e01fb5cc053132d5195af1d1db3765bd4476633765343e2,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-08.webp,assets/world-anvil/screenshots/Session 08/Session 8-08.webp,,511a9e9fecf80c09fa9009f0419334639a4a571b24c040dea1e478b3c8ed243c,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-09.webp,assets/world-anvil/screenshots/Session 08/Session 8-09.webp,,39a24efcc00f500c55453d653ada182cf35599ab151906a87e6f2c789ada9ae5,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-10.webp,assets/world-anvil/screenshots/Session 08/Session 8-10.webp,,47e7946e10af78159d128dc5d354c93ac068aa1741be4069be8351aa273a6c20,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-11.webp,assets/world-anvil/screenshots/Session 08/Session 8-11.webp,,c21aa90cd7e1556eeb30774cfa69a157a266b0b963be7b48cfe689979019c6e9,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-12.webp,assets/world-anvil/screenshots/Session 08/Session 8-12.webp,,a7638d10e536c6e870d42470a459755c8668bd2c2a7f1d18b5129c490314df04,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-13.webp,assets/world-anvil/screenshots/Session 08/Session 8-13.webp,,7c48f9b62b025c62f42df4b59351b53b6cfdd8d63c85c199987c3023a08e97c3,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-14.webp,assets/world-anvil/screenshots/Session 08/Session 8-14.webp,,a40e69928298d0f4d159f0601c4bc3baea3cdf5ca2264d492062658ad679ffe7,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-15.webp,assets/world-anvil/screenshots/Session 08/Session 8-15.webp,,6a3ffe4fe1eb3e8d8913db8943d702fc9f1fb0a1ced8f4839b3f484b077c4737,
move,Session 8,assets/world-anvil/screenshots-originals/Session 8/Session 8-16.webp,assets/world-anvil/screenshots/Session 08/Session 8-16.webp,,6adbb4429f41489714a70a2af406e085e61190861243d7d740dc874e2e91c63c,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-01.webp,assets/world-anvil/screenshots/Session 09/Session 9-01.webp,,998e8f523f6d8c8a4e370b467a4b7dd7cac33c4adda342b1f9c0f4a749bdeabb,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-02.webp,assets/world-anvil/screenshots/Session 09/Session 9-02.webp,,95bef6d465374fc1b75fbc4d838c16ecc56cf7ee7005fc25f2c403c7ecff2c0d,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-03.webp,assets/world-anvil/screenshots/Session 09/Session 9-03.webp,,f42ac371be142477656a78ae1301ef28c434bc4e8dd4858716aa62e9c8e0ffcd,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-04.webp,assets/world-anvil/screenshots/Session 09/Session 9-04.webp,,b1fc08d6125eaea25d6811b9c7390ad60454397b5a52ea4b577c2e83f2484958,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-05.webp,assets/world-anvil/screenshots/Session 09/Session 9-05.webp,,1a105cdf0efb8e66060b809e41b40736ce64a4d8e5e6dc378978cd487ddbb541,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-06.webp,assets/world-anvil/screenshots/Session 09/Session 9-06.webp,,417cc29c57cba74c1bbd461b855111f7ae16ab84b509556a3c8ad557eb1b5dc3,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-07.webp,assets/world-anvil/screenshots/Session 09/Session 9-07.webp,,a009f41cec53984188b7f3fe599f306d6ceb1e6621129073e7d662a45c8761a6,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-08.webp,assets/world-anvil/screenshots/Session 09/Session 9-08.webp,,8ea6a59c2285d53e9b9b4c5473ffd7d3167d54a9f53b1d62de842d3ddac91de6,
move,Session 9,assets/world-anvil/screenshots-originals/Session 9/Session 9-09.webp,assets/world-anvil/screenshots/Session 09/Session 9-09.webp,,98629a58e57192b91ccd3ce24ca2e5d82cb2a871284b335cc1f771183fde487b,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-01.webp,assets/world-anvil/screenshots/Session 10/Session 10-01.webp,,71b4012259b532825f3bdfbc48365972a73e73c43261fb270c70447fca3ba0bd,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-02.webp,assets/world-anvil/screenshots/Session 10/Session 10-02.webp,,9c8135bd6752ba783628aa40077874cd7f352ee6f0d75284bb459f4a1a04754d,
